cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.22
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28,28.94
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28,40.87
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.4
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3,15.52
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.86
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,47.71
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,18.28
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56,44.4
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28,46.25
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28,33.69
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,57.92
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,42.22
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.66
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.58
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,11.39
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.45
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
